t,memavail_mib,swap_used_mib,pswpin,pswpout,pgmajfault,nvme_read_mib,cpu_pct,cpu_max_core_pct,gpu_util,gpu_w,gpu_c,sm_mhz,throttle
07:07:27,39319,4198,4935223,7872391,14776805,103.0,5.8,95.0,4,11.77,51,2418,0x0000000000000000
07:07:28,39141,4198,4935223,7872391,14776806,146.8,7.3,93.0,4,12.10,51,2418,0x0000000000000000
07:07:29,39279,4198,4935224,7872391,14776811,141.2,6.6,100.0,4,12.10,51,2418,0x0000000000000000
07:07:30,39107,4198,4935225,7872391,14776812,143.8,6.5,100.0,4,12.10,51,2418,0x0000000000000000
07:07:31,38935,4198,4935225,7872391,14776812,140.0,6.3,100.0,4,12.07,50,2418,0x0000000000000000
07:07:32,39101,4198,4935225,7872391,14776816,139.5,6.4,99.0,4,12.04,50,2418,0x0000000000000000
07:07:33,38928,4198,4935225,7872391,14776817,142.3,7.0,100.0,4,12.07,50,2418,0x0000000000000000
07:07:34,39097,4198,4935225,7872391,14776821,139.5,6.4,100.0,3,12.05,50,2418,0x0000000000000000
07:07:35,38940,4198,4935225,7872391,14776821,141.8,6.3,100.0,4,12.08,50,2418,0x0000000000000000
07:07:36,38763,4198,4935225,7872391,14776821,144.8,6.5,100.0,4,12.06,50,2418,0x0000000000000000
07:07:37,38928,4198,4935225,7872391,14776825,141.4,6.4,100.0,4,12.06,50,2418,0x0000000000000000
07:07:38,38746,4198,4935225,7872391,14776825,147.5,7.0,100.0,4,12.09,50,2418,0x0000000000000000
07:07:39,38903,4198,4935225,7872391,14776830,142.5,6.7,99.0,4,12.06,50,2418,0x0000000000000000
07:07:40,38734,4198,4935225,7872391,14776830,141.8,6.4,100.0,4,12.04,50,2418,0x0000000000000000
07:07:41,38903,4198,4935225,7872391,14776834,127.2,6.4,100.0,4,12.00,50,2418,0x0000000000000000
07:07:42,38747,4198,4935225,7872391,14776834,134.5,6.6,100.0,4,11.95,50,2418,0x0000000000000000
07:07:43,38574,4198,4935225,7872391,14776835,140.6,7.2,100.0,4,12.00,50,2418,0x0000000000000000
07:07:44,38756,4198,4935225,7872391,14776839,126.2,6.7,100.0,4,11.94,50,2418,0x0000000000000000
07:07:45,38608,4198,4935225,7872391,14776839,131.2,6.6,99.0,3,11.93,50,2418,0x0000000000000000
07:07:46,38788,4198,4935225,7872391,14776842,126.0,6.4,100.0,4,11.96,50,2418,0x0000000000000000
07:07:47,38656,4198,4935225,7872391,14776843,125.0,6.5,100.0,4,11.88,50,2418,0x0000000000000000
07:07:48,38518,4198,4935225,7872391,14776844,135.3,7.0,100.0,4,11.96,50,2418,0x0000000000000000
07:07:49,38707,4198,4935225,7872391,14776848,121.9,6.6,100.0,3,11.90,50,2418,0x0000000000000000
07:07:50,38585,4198,4935236,7872391,14776859,130.0,6.7,100.0,4,11.94,50,2418,0x0000000000000000
07:07:51,38449,4198,4935236,7872391,14776860,125.8,6.8,100.0,3,11.88,50,2418,0x0000000000000000
07:07:52,38618,4198,4935236,7872391,14776864,138.0,6.4,99.0,4,11.95,50,2418,0x0000000000000000
07:07:53,38465,4198,4935236,7872391,14776864,141.0,7.1,100.0,3,11.97,50,2418,0x0000000000000000
07:07:54,38638,4198,4935236,7872391,14776868,137.7,6.4,100.0,3,11.94,50,2418,0x0000000000000000
07:07:55,38478,4198,4935236,7872391,14776868,139.0,6.3,100.0,4,11.96,50,2418,0x0000000000000000
07:07:56,38324,4198,4935236,7872391,14776868,139.0,6.4,100.0,3,11.93,50,2418,0x0000000000000000
07:07:57,38489,4198,4935236,7872391,14776872,136.7,6.4,100.0,4,11.90,50,2418,0x0000000000000000
07:07:58,38328,4198,4935236,7872391,14776874,145.1,7.0,100.0,4,11.96,49,2418,0x0000000000000000
07:07:59,38486,4198,4935236,7872391,14776878,140.4,6.6,100.0,4,11.94,49,2418,0x0000000000000000
07:08:00,38327,4198,4935236,7872391,14776878,144.0,6.5,99.0,4,11.95,49,2418,0x0000000000000000
07:08:01,38516,4198,4935236,7872391,14776882,135.7,6.4,100.0,4,11.94,49,2418,0x0000000000000000
07:08:02,38359,4198,4935236,7872391,14776882,141.2,6.5,100.0,4,11.92,49,2418,0x0000000000000000
07:08:03,38205,4198,4935236,7872391,14776885,140.1,6.9,100.0,4,11.95,49,2418,0x0000000000000000
07:08:04,38397,4198,4935236,7872391,14776889,135.0,6.4,100.0,3,11.90,49,2418,0x0000000000000000
07:08:05,38239,4198,4935236,7872391,14776889,137.8,6.2,100.0,4,11.90,49,2418,0x0000000000000000
07:08:06,38426,4198,4935236,7872391,14776893,133.5,6.3,100.0,4,11.87,49,2418,0x0000000000000000
07:08:07,38276,4198,4935236,7872391,14776893,141.0,6.3,100.0,4,11.85,49,2418,0x0000000000000000
07:08:08,38126,4198,4935236,7872391,14776895,140.6,7.2,99.0,4,11.90,49,2418,0x0000000000000000
07:08:09,38303,4198,4935236,7872391,14776899,137.2,6.5,100.0,4,11.87,49,2418,0x0000000000000000
07:08:10,38160,4198,4935236,7872391,14776899,141.2,6.5,100.0,4,11.89,49,2418,0x0000000000000000
07:08:11,38334,4198,4935236,7872391,14776903,138.7,6.4,100.0,3,11.88,49,2418,0x0000000000000000
07:08:12,38166,4198,4935236,7872391,14776904,144.0,6.4,100.0,4,11.90,49,2418,0x0000000000000000
07:08:13,38006,4198,4935236,7872391,14776904,141.1,7.0,100.0,3,11.90,49,2418,0x0000000000000000
07:08:14,38180,4198,4935236,7872391,14776908,136.6,6.3,100.0,4,11.90,49,2418,0x0000000000000000
07:08:15,38027,4198,4935236,7872391,14776908,139.8,6.4,100.0,4,11.88,49,2418,0x0000000000000000
07:08:16,38191,4198,4935236,7872391,14776912,135.0,6.3,99.0,4,11.84,49,2418,0x0000000000000000
07:08:17,38039,4198,4935236,7872391,14776912,142.0,6.3,100.0,4,11.87,49,2418,0x0000000000000000
07:08:18,38235,4198,4935236,7872391,14776916,139.9,6.9,100.0,4,11.89,49,2418,0x0000000000000000
07:08:19,38079,4198,4935236,7872391,14776916,143.8,6.5,100.0,4,11.84,49,2418,0x0000000000000000
07:08:20,37922,4198,4935250,7872391,14776930,140.1,6.5,100.0,4,11.87,49,2418,0x0000000000000000
07:08:21,38114,4198,4935250,7872391,14776934,138.7,6.4,100.0,4,11.81,49,2418,0x0000000000000000
07:08:22,37958,4198,4935250,7872391,14776934,139.8,6.3,100.0,4,11.82,49,2418,0x0000000000000000
07:08:23,38119,4198,4935254,7872391,14776946,142.2,7.1,100.0,4,11.84,49,2418,0x0000000000000000
07:08:24,37962,4198,4935254,7872391,14776946,141.8,6.2,100.0,4,11.82,49,2418,0x0000000000000000
07:08:25,37806,4198,4935254,7872391,14776946,142.2,6.3,99.0,4,11.81,49,2418,0x0000000000000000
07:08:26,37987,4198,4935254,7872391,14776950,138.2,6.4,100.0,4,11.81,49,2418,0x0000000000000000
07:08:27,37826,4198,4935254,7872391,14776950,144.0,6.5,100.0,3,11.80,48,2418,0x0000000000000000
07:08:28,38007,4198,4935254,7872391,14776954,139.7,6.9,100.0,4,11.79,48,2418,0x0000000000000000
07:08:29,37852,4198,4935254,7872391,14776954,141.5,6.5,100.0,4,11.81,48,2418,0x0000000000000000
07:08:30,38030,4198,4935254,7872391,14776958,134.9,6.3,100.0,4,11.79,48,2418,0x0000000000000000
07:08:31,37879,4198,4935254,7872391,14776958,136.5,6.3,100.0,4,11.79,48,2418,0x0000000000000000
07:08:32,37737,4198,4935254,7872391,14776958,126.0,6.5,100.0,4,11.76,48,2418,0x0000000000000000
07:08:33,37933,4198,4935254,7872391,14776962,126.5,7.0,99.0,4,11.76,48,2418,0x0000000000000000
07:08:34,37793,4198,4935254,7872391,14776962,121.8,6.6,100.0,4,11.74,48,2418,0x0000000000000000
07:08:35,37655,4198,4935254,7872391,14776962,125.5,6.5,100.0,4,11.72,48,2418,0x0000000000000000
07:08:36,37840,4198,4935254,7872391,14776966,124.0,6.8,100.0,3,11.70,48,2418,0x0000000000000000
07:08:37,37709,4198,4935254,7872391,14776966,122.8,6.4,100.0,3,11.67,48,2418,0x0000000000000000
07:08:38,37903,4198,4935255,7872391,14776971,125.6,6.9,100.0,3,11.72,48,2418,0x0000000000000000
07:08:39,37773,4197,4935255,7872391,14776971,123.6,6.5,100.0,4,11.70,48,2418,0x0000000000000000
07:08:40,37644,4197,4935255,7872391,14776971,124.5,6.5,100.0,3,11.66,48,2418,0x0000000000000000
07:08:41,37844,4197,4935255,7872391,14776975,117.2,6.5,99.0,3,11.68,48,2418,0x0000000000000000
07:08:42,37721,4197,4935255,7872391,14776975,121.8,6.4,100.0,3,11.67,48,2418,0x0000000000000000
07:08:43,37555,4197,4935255,7872391,14776975,140.5,7.0,100.0,4,11.76,48,2418,0x0000000000000000
07:08:44,37748,4197,4935255,7872391,14776981,135.3,6.5,100.0,4,11.75,48,2418,0x0000000000000000
07:08:45,37601,4197,4935255,7872391,14776981,137.2,6.3,100.0,4,11.76,48,2418,0x0000000000000000
07:08:46,37785,4197,4935255,7872391,14776985,133.2,6.4,100.0,3,11.74,48,2418,0x0000000000000000
07:08:47,37634,4197,4935255,7872391,14776985,142.0,6.5,100.0,4,11.79,48,2418,0x0000000000000000
07:08:48,37463,4197,4935255,7872391,14776985,145.5,6.9,100.0,4,11.74,48,2418,0x0000000000000000
07:08:49,37634,4197,4935258,7872391,14776990,136.5,6.5,99.0,4,11.72,48,2418,0x0000000000000000
07:08:50,37491,4197,4935265,7872391,14776997,138.8,6.4,100.0,4,11.74,48,2418,0x0000000000000000
07:08:51,37703,4197,4935265,7872391,14777001,135.4,6.4,100.0,3,11.73,48,2418,0x0000000000000000
07:08:52,37555,4197,4935265,7872391,14777001,144.8,6.5,100.0,4,11.75,48,2418,0x0000000000000000
07:08:53,37401,4197,4935265,7872391,14777001,136.0,7.0,100.0,4,11.67,48,2418,0x0000000000000000
07:08:54,37597,4197,4935265,7872391,14777005,127.6,6.8,100.0,3,11.67,48,2418,0x0000000000000000
07:08:55,37446,4197,4935265,7872391,14777005,131.5,6.6,100.0,4,11.63,48,2418,0x0000000000000000
07:08:56,37629,4197,4935265,7872391,14777009,136.7,6.8,99.0,4,11.69,48,2418,0x0000000000000000
07:08:57,37500,4197,4935265,7872391,14777009,141.5,6.4,100.0,4,11.69,48,2418,0x0000000000000000
07:08:58,37377,4197,4935265,7872391,14777010,145.1,7.0,100.0,4,11.73,48,2418,0x0000000000000000
07:08:59,37566,4197,4935265,7872391,14777014,137.9,6.4,100.0,4,11.69,47,2418,0x0000000000000000
07:09:00,37429,4197,4935265,7872391,14777014,139.2,6.2,100.0,4,11.71,47,2418,0x0000000000000000
07:09:01,37632,4197,4935265,7872391,14777018,135.7,6.4,100.0,4,11.68,47,2418,0x0000000000000000
07:09:02,37493,4197,4935265,7872391,14777018,141.0,6.4,100.0,4,11.69,47,2418,0x0000000000000000
07:09:03,37703,4197,4935266,7872391,14777024,136.8,7.0,100.0,4,11.70,47,2418,0x0000000000000000
07:09:04,37614,4197,4935266,7872391,14777024,138.2,6.3,99.0,3,11.67,47,2418,0x0000000000000000
07:09:05,37486,4197,4935266,7872391,14777024,136.8,6.3,100.0,3,11.69,47,2418,0x0000000000000000
07:09:06,37717,4197,4935266,7872391,14777028,135.7,6.6,100.0,4,11.65,47,2418,0x0000000000000000
07:09:07,37573,4197,4935266,7872391,14777028,137.0,6.4,100.0,4,11.70,47,2418,0x0000000000000000
07:09:08,37773,4197,4935267,7872391,14777033,139.7,7.0,100.0,3,11.66,47,2418,0x0000000000000000
07:09:09,37658,4197,4935267,7872391,14777033,141.0,6.5,100.0,4,11.66,47,2418,0x0000000000000000
07:09:10,37532,4197,4935267,7872391,14777033,139.0,6.6,100.0,3,11.65,47,2418,0x0000000000000000
07:09:11,37751,4197,4935267,7872391,14777037,134.9,6.5,100.0,3,11.62,47,2418,0x0000000000000000
07:09:12,37649,4197,4935267,7872391,14777037,136.8,6.4,100.0,4,11.65,47,2418,0x0000000000000000
07:09:13,37851,4197,4935267,7872391,14777043,137.3,7.2,100.0,4,11.66,47,2418,0x0000000000000000
07:09:14,37702,4197,4935267,7872391,14777043,139.5,6.2,99.0,4,11.64,47,2418,0x0000000000000000
07:09:15,37564,4197,4935267,7872391,14777043,137.0,6.2,100.0,4,11.67,47,2418,0x0000000000000000
07:09:16,37743,4197,4935267,7872391,14777047,133.0,6.3,100.0,4,11.65,47,2418,0x0000000000000000
07:09:17,37611,4197,4935267,7872391,14777048,139.8,6.4,100.0,4,11.61,47,2418,0x0000000000000000
07:09:18,37809,4197,4935267,7872391,14777054,137.8,7.0,100.0,4,11.61,47,2418,0x0000000000000000
07:09:19,37676,4197,4935268,7872391,14777056,143.1,6.5,100.0,4,11.63,47,2418,0x0000000000000000
07:09:20,37573,4197,4935279,7872391,14777067,138.0,6.5,100.0,4,11.64,47,2418,0x0000000000000000
07:09:21,37786,4197,4935279,7872391,14777071,135.5,6.3,100.0,4,11.64,47,2418,0x0000000000000000
