t,memavail_mib,swap_used_mib,pswpin,pswpout,pgmajfault,nvme_read_mib,cpu_pct,cpu_max_core_pct,gpu_util,gpu_w,gpu_c,sm_mhz,throttle
06:36:08,120803,4156,4384162,7101269,13229321,0.2,0.0,0.0,3,4.89,38,364,0x0000000000000000
06:36:09,120603,4156,4384164,7101269,13230845,197.5,2.5,31.0,3,4.93,38,370,0x0000000000000000
06:36:10,120510,4156,4384164,7101269,13231428,78.8,10.3,33.0,3,4.86,38,344,0x0000000000000000
06:36:11,120423,4156,4384165,7101269,13231484,25.3,4.9,28.0,3,4.92,38,357,0x0000000000000000
06:36:12,120404,4156,4384165,7101269,13231493,11.8,6.4,88.9,3,4.93,38,370,0x0000000000000000
06:36:13,120370,4156,4384165,7101269,13232101,83.5,6.0,75.0,3,5.01,38,396,0x0000000000000000
06:36:14,120322,4156,4384165,7101269,13232105,10.0,6.3,91.0,4,5.00,38,383,0x0000000000000000
06:36:15,120300,4156,4384165,7101269,13232114,11.2,6.2,64.6,3,4.98,38,377,0x0000000000000000
06:36:16,120274,4156,4384165,7101269,13232170,16.8,5.7,42.3,4,4.97,38,377,0x0000000000000000
06:36:17,120268,4156,4384165,7101269,13232170,10.8,5.1,64.3,4,4.99,38,390,0x0000000000000000
06:36:18,120234,4156,4384167,7101269,13232203,27.0,4.9,37.8,3,5.02,38,403,0x0000000000000000
06:36:19,120220,4156,4384167,7101269,13232310,38.1,4.5,62.7,3,5.07,38,422,0x0000000000000000
06:36:20,120179,4156,4384167,7101269,13232422,25.7,5.3,83.2,3,5.01,38,403,0x0000000000000000
06:36:21,120147,4156,4384169,7101269,13232562,26.3,11.0,68.8,4,5.05,38,403,0x0000000000000000
06:36:22,120106,4156,4384169,7101269,13232706,27.1,5.7,54.1,3,5.02,38,396,0x0000000000000000
06:36:23,119782,4156,4384169,7101269,13232714,4.1,13.2,67.7,3,4.93,38,357,0x0000000000000000
06:36:24,119654,4156,4384169,7101269,13232714,0.0,6.7,99.0,3,4.90,38,377,0x0000000000000000
06:36:25,119576,4156,4384242,7101269,13232780,0.3,6.6,100.0,3,4.96,38,377,0x0000000000000000
06:36:26,119512,4156,4384242,7101269,13232807,7.4,12.6,80.4,3,4.96,38,383,0x0000000000000000
06:36:27,119513,4156,4384242,7101269,13233296,292.0,4.2,41.0,2,4.96,38,377,0x0000000000000000
06:36:28,119408,4156,4384246,7101269,13233843,72.4,6.5,71.3,3,5.00,38,364,0x0000000000000000
06:36:29,119376,4156,4384246,7101269,13234291,78.0,5.3,37.0,2,4.94,38,364,0x0000000000000000
06:36:30,118933,4156,4384246,7101269,13234315,11.6,15.6,53.5,3,5.01,38,383,0x0000000000000000
06:36:31,118684,4156,4384246,7101269,13235461,99.2,15.0,77.0,3,5.02,38,383,0x0000000000000000
06:36:32,118949,4156,4384246,7101269,13236537,82.1,7.2,88.1,4,5.08,38,370,0x0000000000000000
06:36:33,119652,4156,4384246,7101269,13236562,2.2,7.1,45.0,4,4.99,38,377,0x0000000000000000
06:36:34,119098,4156,4384248,7101269,13236564,13.9,15.6,62.0,4,5.14,38,409,0x0000000000000000
06:36:35,119147,4156,4384248,7101269,13236588,6.7,14.2,91.0,4,5.07,38,390,0x0000000000000000
06:36:36,118967,4156,4384248,7101269,13236588,0.0,12.9,60.2,4,5.03,38,403,0x0000000000000000
06:36:37,118898,4156,4384252,7101269,13236635,6.0,7.6,100.0,4,5.07,38,416,0x0000000000000000
06:36:38,118785,4156,4384254,7101269,13236638,0.2,8.2,99.0,3,4.99,38,364,0x0000000000000000
06:36:39,118765,4156,4384254,7101269,13236638,0.0,13.0,53.5,2,4.78,38,344,0x0000000000000000
06:36:40,118185,4156,4384254,7101269,13236638,0.0,19.8,67.3,2,4.78,38,351,0x0000000000000000
06:36:41,119394,4156,4384254,7101269,13236644,1.7,9.3,79.0,1,4.78,38,331,0x0000000000000000
06:36:42,119149,4156,4384254,7101269,13236645,0.1,5.8,99.0,2,4.85,38,390,0x0000000000000000
06:36:43,119078,4156,4384255,7101269,13236646,0.3,7.7,100.0,2,4.86,38,377,0x0000000000000000
06:36:44,118903,4156,4384257,7101269,13236647,0.1,6.1,98.0,5,5.13,38,429,0x0000000000000000
