t,memavail_mib,swap_used_mib,pswpin,pswpout,pgmajfault,nvme_read_mib,cpu_pct,cpu_max_core_pct,gpu_util,gpu_w,gpu_c,sm_mhz,throttle
08:07:10,121084,4234,5914696,9337999,17796517,0.0,0.0,0.0,2,5.22,56,390,0x0000000000000000
08:07:11,120973,4234,5914697,9337999,17797975,186.1,2.1,25.4,2,5.20,56,383,0x0000000000000000
08:07:12,120891,4234,5914704,9337999,17798364,63.6,9.7,46.5,2,5.16,55,383,0x0000000000000000
08:07:13,120815,4234,5914704,9337999,17798411,22.6,4.4,41.0,2,5.23,55,390,0x0000000000000000
08:07:14,120794,4234,5914704,9337999,17798949,76.9,4.3,71.4,2,5.20,55,383,0x0000000000000000
08:07:15,120743,4234,5914704,9337999,17799025,17.8,5.7,55.9,2,5.17,55,383,0x0000000000000000
08:07:16,120716,4234,5914704,9337999,17799034,11.6,4.9,87.9,2,5.17,55,383,0x0000000000000000
08:07:17,120706,4234,5914704,9337999,17799070,12.6,5.0,61.0,2,5.17,55,383,0x0000000000000000
08:07:18,120689,4234,5914704,9337999,17799092,13.7,4.2,73.5,2,5.14,54,383,0x0000000000000000
08:07:19,120687,4234,5914704,9337999,17799092,11.1,3.5,42.0,2,5.16,54,383,0x0000000000000000
08:07:20,120652,4234,5914705,9337999,17799158,48.5,3.7,46.1,2,5.15,54,383,0x0000000000000000
08:07:21,120616,4234,5914705,9337999,17799288,25.0,4.6,83.8,2,5.12,54,383,0x0000000000000000
08:07:22,120600,4234,5914705,9337999,17799351,18.3,4.7,66.7,2,5.13,54,383,0x0000000000000000
08:07:23,120545,4234,5914723,9337999,17799526,31.2,10.7,77.5,2,5.16,54,383,0x0000000000000000
08:07:24,120308,4234,5914723,9337999,17799659,23.2,6.1,34.3,2,5.14,54,383,0x0000000000000000
08:07:25,120138,4234,5914723,9337999,17799660,0.1,10.2,60.0,2,5.12,54,383,0x0000000000000000
08:07:26,120061,4234,5914723,9337999,17799660,0.0,5.5,100.0,2,5.08,53,383,0x0000000000000000
08:07:27,119975,4234,5914723,9337999,17799660,0.4,5.4,97.0,2,5.09,53,383,0x0000000000000000
08:07:28,119938,4234,5914723,9337999,17800154,296.2,10.4,49.0,2,5.11,53,383,0x0000000000000000
