t,memavail_mib,swap_used_mib,pswpin,pswpout,pgmajfault,nvme_read_mib,cpu_pct,cpu_max_core_pct,gpu_util,gpu_w,gpu_c,sm_mhz,throttle
13:27:04,120879,4155,1719247,3473457,16522488,0.0,0.0,0.0,1,4.57,57,247,0x0000000000000000
13:27:05,120742,4155,1719251,3473457,16524179,229.1,10.0,31.0,1,4.51,56,260,0x0000000000000000
13:27:06,120628,4155,1719294,3473457,16524800,75.4,4.7,51.5,1,4.48,56,253,0x0000000000000000
13:27:07,120589,4155,1719298,3473457,16525404,89.1,4.0,67.3,0,4.33,56,208,0x0000000000000000
13:27:08,120545,4155,1719298,3473457,16525513,26.2,4.4,85.7,0,4.20,56,208,0x0000000000000000
13:27:09,120502,4155,1719374,3473457,16525561,15.0,5.0,58.2,0,4.12,56,227,0x0000000000000000
13:27:10,120448,4155,1719374,3473457,16525611,16.8,4.5,44.4,0,4.15,56,208,0x0000000000000000
13:27:11,120424,4155,1719374,3473457,16525611,20.9,2.0,28.3,0,4.24,55,208,0x0000000000000000
13:27:12,120399,4155,1719461,3473457,16525684,40.5,2.4,30.0,0,4.19,55,208,0x0000000000000000
13:27:13,120380,4155,1719461,3473457,16525806,30.3,10.5,56.0,0,4.19,55,208,0x0000000000000000
13:27:14,120332,4155,1719468,3473457,16526018,41.1,4.7,78.4,0,4.07,55,208,0x0000000000000000
13:27:15,120304,4155,1719468,3473457,16526659,85.1,3.9,57.4,0,4.06,55,208,0x0000000000000000
13:27:16,120239,4155,1719468,3473457,16526747,26.0,4.8,88.9,0,4.07,55,208,0x0000000000000000
13:27:17,120218,4155,1719468,3473457,16527138,68.2,3.7,62.2,0,4.05,55,208,0x0000000000000000
13:27:18,120197,4155,1719479,3473457,16527143,10.4,5.5,90.2,0,4.08,54,208,0x0000000000000000
13:27:19,120171,4155,1719479,3473457,16527277,24.8,4.6,84.8,0,4.11,54,208,0x0000000000000000
13:27:20,119850,4155,1719479,3473457,16527610,47.9,4.0,39.4,0,6.06,55,1358,0x0000000000000000
13:27:21,119870,4155,1719479,3473457,16528141,59.5,4.1,46.0,0,12.21,55,2411,0x0000000000000000
13:27:22,119836,4155,1719479,3473457,16528189,10.6,5.0,88.8,0,12.22,55,2411,0x0000000000000000
13:27:23,119107,4155,1719479,3473457,16528202,10.9,21.2,100.0,0,12.23,55,2411,0x0000000000000000
13:27:24,118834,4155,1719479,3473457,16528404,41.2,14.9,100.0,0,12.32,55,2411,0x0000000000000000
13:27:25,118551,4155,1719485,3473457,16528410,2.8,22.2,73.7,0,12.26,55,2411,0x0000000000000000
13:27:26,118084,4155,1719485,3473457,16528410,0.0,15.1,100.0,0,12.26,55,2411,0x0000000000000000
13:27:27,117554,4155,1719485,3473457,16528411,0.3,11.9,100.0,0,12.24,55,2411,0x0000000000000000
13:27:28,117101,4155,1719485,3473457,16528467,6.2,4.9,64.0,0,12.18,55,2411,0x0000000000000000
13:27:29,116783,4155,1719485,3473457,16528547,11.7,6.5,94.0,3,12.94,55,2411,0x0000000000000000
13:27:30,76200,4155,1719485,3473457,16528588,5.4,5.2,99.0,0,12.77,55,2411,0x0000000000000000
13:27:31,61709,4155,1719513,3473457,16529004,49.8,5.1,76.0,0,12.25,55,2411,0x0000000000000000
13:27:32,61686,4155,1719520,3473457,16529077,36.1,4.3,70.8,0,12.96,55,2411,0x0000000000000000
13:27:33,39606,4155,1719521,3473457,16529078,0.0,5.3,100.0,11,17.28,55,2424,0x0000000000000000
13:27:34,32931,4155,1719521,3473457,16529728,186.0,4.3,26.3,0,13.81,55,2411,0x0000000000000000
13:27:35,32992,4155,1719521,3473457,16531806,481.5,3.5,9.3,0,12.14,54,2411,0x0000000000000000
13:27:36,33038,4155,1719521,3473457,16533744,449.2,3.3,10.2,0,12.11,54,2411,0x0000000000000000
13:27:37,32835,4155,1719521,3473457,16534857,355.2,6.8,81.0,1,12.29,54,2411,0x0000000000000000
13:27:38,32798,4155,1719521,3473457,16535224,195.7,6.4,97.0,1,12.52,54,2411,0x0000000000000000
13:27:39,32560,4155,1719521,3473457,16535490,182.9,6.7,91.0,1,12.50,54,2411,0x0000000000000000
13:27:40,32636,4155,1719521,3473457,16536094,250.7,6.8,95.0,1,12.52,54,2411,0x0000000000000000
13:27:41,32394,4155,1719521,3473457,16536125,130.4,6.5,100.0,1,12.50,54,2411,0x0000000000000000
13:27:42,32515,4154,1719522,3473457,16536730,253.6,6.7,95.0,2,12.48,54,2411,0x0000000000000000
13:27:43,32634,4154,1719522,3473457,16537019,179.8,6.5,92.0,1,12.48,54,2411,0x0000000000000000
13:27:44,32390,4154,1719522,3473457,16537364,204.1,7.0,98.0,2,12.47,54,2411,0x0000000000000000
13:27:45,32440,4154,1719522,3473457,16537970,261.2,6.6,96.0,1,12.47,54,2411,0x0000000000000000
13:27:46,32208,4154,1719522,3473457,16538000,127.1,6.4,100.0,1,12.46,54,2411,0x0000000000000000
13:27:47,32341,4154,1719522,3473457,16538603,250.0,6.4,94.9,1,12.42,54,2411,0x0000000000000000
13:27:48,32468,4154,1719577,3473457,16538936,185.9,6.8,95.0,1,12.43,53,2411,0x0000000000000000
13:27:49,32252,4154,1719581,3473457,16539256,187.6,7.0,97.0,1,12.41,53,2411,0x0000000000000000
13:27:50,32378,4154,1719581,3473457,16539894,258.4,6.5,94.9,1,12.40,53,2411,0x0000000000000000
13:27:51,32141,4154,1719581,3473457,16539925,128.2,6.3,100.0,2,12.42,53,2411,0x0000000000000000
13:27:52,32272,4154,1719581,3473457,16540529,255.7,6.5,96.0,1,12.40,53,2411,0x0000000000000000
13:27:53,32389,4154,1719581,3473457,16540865,191.1,6.4,95.0,1,12.42,53,2411,0x0000000000000000
13:27:54,32168,4154,1719581,3473457,16541162,182.1,6.7,96.0,1,12.33,53,2411,0x0000000000000000
13:27:55,32286,4154,1719581,3473457,16541767,255.2,7.0,96.0,1,12.36,53,2411,0x0000000000000000
13:27:56,32063,4154,1719583,3473457,16541800,123.6,6.4,100.0,1,12.34,53,2411,0x0000000000000000
13:27:57,32176,4154,1719583,3473457,16542403,252.4,6.9,95.0,1,12.31,53,2411,0x0000000000000000
13:27:58,32302,4154,1719583,3473457,16542857,218.2,6.2,97.0,1,12.34,53,2411,0x0000000000000000
13:27:59,32064,4154,1719583,3473457,16543038,166.3,6.8,99.0,2,12.33,53,2411,0x0000000000000000
13:28:00,32204,4154,1719583,3473457,16543640,244.2,6.2,92.1,1,12.31,53,2411,0x0000000000000000
13:28:01,31967,4154,1719583,3473457,16543670,126.5,6.8,100.0,1,12.19,53,2411,0x0000000000000000
13:28:02,32093,4154,1719583,3473457,16544273,247.7,6.5,93.0,1,12.16,53,2411,0x0000000000000000
13:28:03,32213,4154,1719583,3473457,16544391,138.5,6.2,99.0,1,12.15,52,2411,0x0000000000000000
13:28:04,31962,4154,1719583,3473457,16544906,243.4,7.0,96.0,1,12.12,52,2411,0x0000000000000000
13:28:05,32107,4154,1719583,3473457,16545360,198.3,6.9,73.0,2,12.17,52,2411,0x0000000000000000
13:28:06,31872,4154,1719583,3473457,16545541,160.5,6.2,99.0,2,12.03,52,2411,0x0000000000000000
13:28:07,32013,4154,1719584,3473457,16546145,248.7,6.5,95.0,1,12.12,52,2411,0x0000000000000000
13:28:08,31780,4154,1719584,3473457,16546174,122.6,6.2,100.0,1,12.09,52,2411,0x0000000000000000
13:28:09,31890,4154,1719584,3473457,16546778,253.8,7.0,95.0,1,12.06,52,2411,0x0000000000000000
13:28:10,32005,4154,1719586,3473457,16547033,170.0,6.5,97.0,1,12.08,52,2411,0x0000000000000000
13:28:11,31772,4154,1719586,3473457,16547412,205.4,6.7,98.0,1,12.06,52,2411,0x0000000000000000
13:28:12,31902,4154,1719586,3473457,16548014,247.1,6.8,96.0,1,12.06,52,2411,0x0000000000000000
13:28:13,31681,4154,1719586,3473457,16548042,117.7,6.6,100.0,1,12.03,52,2411,0x0000000000000000
13:28:14,31814,4154,1719586,3473457,16548645,243.8,6.8,95.0,1,12.03,52,2411,0x0000000000000000
13:28:15,31577,4154,1719586,3473457,16548674,120.9,6.7,100.0,2,12.06,52,2411,0x0000000000000000
13:28:16,31704,4154,1719586,3473457,16549277,248.7,7.1,96.0,1,12.04,52,2411,0x0000000000000000
13:28:17,31851,4154,1719586,3473457,16549511,154.7,6.4,98.0,1,12.01,52,2411,0x0000000000000000
13:28:18,31654,4154,1719586,3473457,16549904,201.6,6.8,98.0,1,12.00,52,2411,0x0000000000000000
13:28:19,31794,4154,1719587,3473457,16550509,253.2,7.0,95.0,2,12.03,52,2411,0x0000000000000000
13:28:20,31569,4154,1719589,3473457,16550543,126.0,6.4,100.0,1,12.00,51,2411,0x0000000000000000
13:28:21,31700,4154,1719589,3473457,16551145,245.6,6.1,93.9,1,11.96,51,2411,0x0000000000000000
13:28:22,31478,4154,1719590,3473457,16551175,121.3,6.4,100.0,1,11.98,51,2411,0x0000000000000000
13:28:23,31597,4154,1719590,3473457,16551778,250.9,6.7,96.0,1,11.98,51,2411,0x0000000000000000
13:28:24,31708,4154,1719590,3473457,16552142,198.4,6.9,97.0,1,11.99,51,2411,0x0000000000000000
13:28:25,31463,4154,1719590,3473457,16552412,184.4,6.6,98.0,1,11.97,51,2411,0x0000000000000000
13:28:26,31587,4154,1719590,3473457,16553016,251.8,6.6,97.0,1,12.00,51,2411,0x0000000000000000
13:28:27,31356,4154,1719590,3473457,16553045,127.1,6.3,100.0,1,11.98,51,2411,0x0000000000000000
13:28:28,31487,4154,1719590,3473457,16553648,245.6,6.2,94.0,1,11.93,51,2411,0x0000000000000000
13:28:29,31630,4154,1719590,3473457,16553781,133.4,7.2,99.0,1,11.95,51,2411,0x0000000000000000
13:28:30,31450,4154,1719590,3473457,16554274,213.0,6.7,96.0,1,11.90,51,2411,0x0000000000000000
13:28:31,31609,4154,1719597,3473457,16554551,161.9,6.7,98.0,1,11.89,51,2411,0x0000000000000000
13:28:32,31423,4154,1719597,3473457,16554905,187.5,6.8,97.0,1,11.90,51,2411,0x0000000000000000
13:28:33,31573,4154,1719597,3473457,16555506,241.3,6.6,97.0,1,11.86,51,2411,0x0000000000000000
13:28:34,31336,4154,1719597,3473457,16555536,126.1,6.6,100.0,1,11.73,51,2411,0x0000000000000000
13:28:35,31471,4154,1719597,3473457,16556138,246.7,6.3,95.0,1,11.74,51,2411,0x0000000000000000
13:28:36,31251,4154,1719597,3473457,16556167,122.7,6.4,100.0,1,11.75,51,2411,0x0000000000000000
13:28:37,31352,4154,1719597,3473457,16556771,253.3,6.7,96.0,1,11.75,51,2411,0x0000000000000000
