zeit,psi_mem_some_avg10,psi_mem_full_avg10,psi_io_some_avg10,psi_mem_some_total_us,majfault_s,pswpin_s,pswpout_s,memavail_mib,swap_used_mib
13:27:09,0.0,0.0,3.56,35591995,655.6,19.2,0.0,120502,4155
13:27:14,0.0,0.0,9.73,35591995,93.0,24.2,0.0,120334,4155
13:27:19,0.0,0.0,8.43,35591995,252.2,3.0,0.0,120174,4155
13:27:24,0.0,0.0,8.33,35591995,225.2,0.0,0.0,118834,4155
13:27:29,0.0,0.0,4.94,35592003,20.4,1.2,0.0,116832,4155
13:27:34,0.0,0.0,4.87,35592354,234.0,7.2,0.0,32929,4155
13:27:39,0.0,0.0,3.84,35592354,1162.9,0.0,0.0,32569,4155
13:27:44,0.0,0.0,3.38,35592354,374.4,0.2,0.0,32399,4154
13:27:49,0.0,0.0,2.94,35592354,377.6,11.6,0.0,32260,4154
13:27:54,0.0,0.0,2.63,35592371,382.2,0.2,0.0,32179,4154
13:27:59,0.0,0.0,2.34,35592371,375.2,0.4,0.0,32073,4154
13:28:04,0.0,0.0,2.23,35592371,373.6,0.0,0.0,31976,4154
13:28:09,0.0,0.0,2.27,35592371,374.4,0.2,0.0,31897,4154
13:28:14,0.0,0.0,2.44,35592371,373.4,0.4,0.0,31821,4154
13:28:19,0.0,0.0,2.06,35592371,372.7,0.2,0.0,31803,4154
13:28:24,0.0,0.0,2.19,35592371,311.6,0.6,0.0,31719,4154
13:28:29,0.0,0.0,2.55,35592371,331.8,0.0,0.0,31637,4154
13:28:34,0.0,0.0,2.34,35592371,361.8,1.4,0.0,31348,4154
13:28:39,0.0,0.0,2.72,35592371,374.2,0.2,0.0,31278,4154
13:28:44,0.0,0.0,2.63,35592371,372.3,0.0,0.0,31319,4154
13:28:49,0.0,0.0,2.47,35592371,318.8,2.2,0.0,31392,4154
13:28:54,0.0,0.0,2.46,35592371,309.0,0.0,0.0,31137,4154
13:28:59,0.0,0.0,2.19,35592371,371.4,0.0,0.0,31210,4154
13:29:04,0.0,0.0,2.27,35592371,362.8,0.2,0.0,31263,4154
13:29:09,0.0,0.0,2.42,35592371,266.8,1.4,0.0,31031,4154
13:29:14,0.0,0.0,2.25,35592371,372.2,0.0,0.0,31086,4154
13:29:19,0.0,0.0,2.1,35592371,371.4,0.2,0.0,31200,4154
13:29:24,0.0,0.0,2.39,35592371,256.4,0.0,0.0,30841,4154
13:29:29,0.0,0.0,2.54,35592371,373.6,0.2,0.0,30891,4154
13:29:34,0.0,0.0,2.51,35592371,373.1,0.0,0.0,31043,4154
13:29:39,0.0,0.0,2.43,35592371,371.6,0.2,0.0,31196,4154
13:29:44,0.0,0.0,3.31,35592371,656.3,398.2,0.0,31301,4154
13:29:49,0.0,0.0,3.17,35592371,277.4,0.4,0.0,31049,4154
13:29:54,0.0,0.0,3.26,35592371,372.6,0.0,0.0,31256,4154
13:29:59,0.0,0.0,2.63,35592371,371.8,0.0,0.0,31368,4154
13:30:04,0.0,0.0,2.54,35592375,328.0,0.0,0.0,31418,4154
13:30:09,0.0,0.0,2.26,35592898,301.8,0.2,2.8,32750,4154
13:30:14,0.0,0.0,1.84,35630043,372.9,0.0,378.5,33018,4156
13:30:19,0.12,0.12,1.91,35640090,384.5,2.0,145.6,33113,4158
13:30:24,0.08,0.08,2.42,35640653,257.8,1.4,110.8,32739,4161
13:30:29,0.04,0.04,2.29,35642405,376.5,3.8,209.4,32962,4165
13:30:34,0.02,0.02,2.16,35644528,444.7,122.0,263.4,33039,4170
13:30:39,0.01,0.01,1.9,35649957,378.4,5.0,144.2,33144,4171
13:30:44,0.0,0.0,1.93,35650854,257.8,1.6,15.8,32764,4172
13:30:49,0.0,0.0,2.26,35654180,384.4,3.4,61.8,32946,4173
13:30:54,0.0,0.0,2.18,35658731,375.6,4.4,354.8,33038,4173
13:30:59,0.0,0.0,1.97,35665628,305.0,6.2,470.6,33162,4174
13:31:04,0.0,0.0,1.8,35666600,380.2,41.8,40.4,32911,4168
13:31:09,0.0,0.0,1.56,35668398,379.6,8.2,45.2,33024,4168
13:31:14,0.0,0.0,2.0,35681805,621.9,285.6,55.6,33120,4166
13:31:19,0.0,0.0,2.0,35683387,376.4,1.2,0.0,33133,4166
13:31:24,0.0,0.0,2.47,35692394,371.8,2.6,431.2,33157,4166
13:31:29,0.0,0.0,2.56,35693473,379.2,0.4,0.2,33178,4166
13:31:34,0.0,0.0,2.7,35698627,377.2,1.0,426.5,33125,4167
13:31:39,0.0,0.0,2.38,35701348,326.6,1.4,286.8,33157,4167
13:31:44,0.0,0.0,2.59,35703245,307.6,0.2,0.0,32920,4167
13:31:49,0.0,0.0,2.29,35706335,375.6,1.8,220.2,32928,4171
13:31:54,0.0,0.0,2.52,35708749,374.8,0.6,117.8,32840,4174
