t,memavail_mib,swap_used_mib,pswpin,pswpout,pgmajfault,nvme_read_mib,cpu_pct,cpu_max_core_pct,gpu_util,gpu_w,gpu_c,sm_mhz,throttle
12:56:22,39038,4055,1146277,2669274,14942621,147.5,6.2,100.0,1,11.33,47,2411,0x0000000000000000
12:56:23,38868,4055,1146278,2669274,14942626,147.2,6.4,99.0,1,11.34,47,2411,0x0000000000000000
12:56:24,38689,4055,1146278,2669274,14942626,143.5,6.4,100.0,1,11.32,47,2411,0x0000000000000000
12:56:25,38528,4055,1146278,2669274,14942626,140.2,6.1,100.0,1,11.32,46,2411,0x0000000000000000
12:56:26,38719,4055,1146278,2669274,14942630,133.2,6.3,100.0,1,11.29,46,2411,0x0000000000000000
12:56:27,38559,4055,1146278,2669274,14942630,140.5,6.5,100.0,1,11.31,46,2411,0x0000000000000000
12:56:28,38739,4055,1146278,2669274,14942634,136.2,6.6,100.0,1,11.32,46,2411,0x0000000000000000
12:56:29,38579,4055,1146278,2669274,14942634,139.5,6.4,100.0,1,11.32,46,2411,0x0000000000000000
12:56:30,38419,4055,1146278,2669274,14942635,137.4,6.3,100.0,1,11.31,46,2411,0x0000000000000000
12:56:31,38600,4055,1146278,2669274,14942638,135.8,6.3,99.0,1,11.31,46,2411,0x0000000000000000
12:56:32,38442,4055,1146354,2669274,14942706,142.9,6.4,100.0,1,11.33,46,2411,0x0000000000000000
12:56:33,38614,4055,1146354,2669274,14942710,143.4,6.4,100.0,1,11.32,46,2411,0x0000000000000000
12:56:34,38448,4055,1146364,2669274,14942712,147.3,6.3,100.0,1,11.34,46,2411,0x0000000000000000
12:56:35,38643,4055,1146364,2669274,14942716,136.7,6.2,100.0,1,11.34,46,2411,0x0000000000000000
12:56:36,38478,4055,1146364,2669274,14942716,143.8,6.2,100.0,1,11.31,46,2411,0x0000000000000000
12:56:37,38319,4055,1146364,2669274,14942716,138.8,6.1,100.0,1,11.32,46,2411,0x0000000000000000
12:56:38,38500,4055,1146364,2669274,14942720,136.7,6.4,100.0,1,11.29,46,2411,0x0000000000000000
12:56:39,38337,4055,1146364,2669274,14942720,141.2,6.1,99.0,1,11.32,46,2411,0x0000000000000000
12:56:40,38516,4055,1146364,2669274,14942724,136.7,6.2,100.0,1,11.34,46,2411,0x0000000000000000
12:56:41,38351,4055,1146364,2669274,14942724,145.0,6.2,100.0,1,11.31,46,2411,0x0000000000000000
12:56:42,38192,4055,1146364,2669274,14942724,140.3,6.2,100.0,1,11.30,46,2411,0x0000000000000000
12:56:43,38361,4055,1146381,2669274,14942742,141.4,6.6,100.0,1,11.31,46,2411,0x0000000000000000
12:56:44,38198,4055,1146381,2669274,14942742,142.0,6.2,100.0,1,11.33,46,2411,0x0000000000000000
12:56:45,38391,4055,1146385,2669274,14942748,139.7,6.2,100.0,1,11.29,46,2411,0x0000000000000000
12:56:46,38235,4055,1146385,2669274,14942748,141.0,6.0,99.0,1,11.30,46,2411,0x0000000000000000
12:56:47,38417,4055,1146385,2669274,14942752,136.4,6.1,100.0,1,11.28,46,2411,0x0000000000000000
12:56:48,38260,4055,1146385,2669274,14942752,147.8,6.6,100.0,1,11.29,46,2411,0x0000000000000000
12:56:49,38103,4055,1146385,2669274,14942752,141.5,6.2,100.0,1,11.29,46,2411,0x0000000000000000
12:56:50,38293,4055,1146385,2669274,14942756,142.0,6.2,100.0,1,11.32,46,2411,0x0000000000000000
12:56:51,38136,4055,1146385,2669274,14942756,144.2,6.2,100.0,1,11.33,46,2411,0x0000000000000000
12:56:52,38332,4055,1146385,2669274,14942760,141.2,6.2,100.0,1,11.31,46,2411,0x0000000000000000
12:56:53,38162,4055,1146385,2669274,14942760,145.0,6.6,100.0,1,11.32,46,2411,0x0000000000000000
12:56:54,38328,4055,1146487,2669274,14942828,147.5,6.5,99.0,1,11.31,46,2411,0x0000000000000000
12:56:55,38173,4055,1146488,2669274,14942829,143.3,6.2,100.0,1,11.26,46,2411,0x0000000000000000
12:56:56,38010,4055,1146488,2669274,14942829,147.0,6.0,100.0,2,11.29,46,2411,0x0000000000000000
12:56:57,38189,4055,1146488,2669274,14942833,140.5,6.2,100.0,1,11.29,46,2411,0x0000000000000000
12:56:58,38031,4055,1146488,2669274,14942833,148.8,6.6,100.0,2,11.30,46,2411,0x0000000000000000
12:56:59,38213,4055,1146488,2669274,14942837,140.0,6.1,100.0,1,11.26,46,2411,0x0000000000000000
12:57:00,38044,4055,1146488,2669274,14942837,149.0,6.3,100.0,1,11.29,46,2411,0x0000000000000000
12:57:01,38225,4055,1146488,2669274,14942841,137.6,6.2,99.0,1,11.29,46,2411,0x0000000000000000
12:57:02,38066,4055,1146488,2669274,14942841,141.6,6.1,100.0,1,11.27,46,2411,0x0000000000000000
12:57:03,37905,4055,1146488,2669274,14942841,142.5,6.5,100.0,1,11.27,46,2411,0x0000000000000000
12:57:04,38082,4055,1146492,2669274,14942849,143.1,6.3,100.0,1,11.27,46,2411,0x0000000000000000
12:57:05,37910,4055,1146494,2669274,14942850,143.5,6.2,100.0,1,11.27,46,2411,0x0000000000000000
